REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,California,2010,40,X,1.95412,X,X,X,X,X,X,632,112,32342
States,District of Columbia,2010,40,X,2.80877,X,X,X,X,X,X,73,4,2599
States,Florida,2010,40,X,X,X,X,X,X,X,X,X,X,X
States,New York,2010,40,X,0.26299,X,X,X,X,X,X,37,91,14069
States,Texas,2010,40,X,2.06514,X,X,X,X,X,X,1050,98,50844
States,New York City,2010,40,X,1.18222,X,X,X,X,X,X,1059,40,89577
States,California,2010,41,X,2.15266,X,X,X,X,X,X,742,122,34469
States,District of Columbia,2010,41,X,2.89079,X,X,X,X,X,X,81,4,2802
States,Florida,2010,41,X,X,X,X,X,X,X,X,X,X,X
States,New York,2010,41,X,0.369729,X,X,X,X,X,X,47,89,12712
States,Texas,2010,41,X,2.09394,X,X,X,X,X,X,1061,97,50670
States,New York City,2010,41,X,1.4023,X,X,X,X,X,X,1258,41,89710
States,California,2010,42,X,2.24173,X,X,X,X,X,X,766,126,34170
States,District of Columbia,2010,42,X,2.41042,X,X,X,X,X,X,74,4,3070
States,Florida,2010,42,X,X,X,X,X,X,X,X,X,X,X
States,New York,2010,42,X,0.362121,X,X,X,X,X,X,53,95,14636
States,Texas,2010,42,X,2.10072,X,X,X,X,X,X,1090,98,51887
States,New York City,2010,42,X,1.29124,X,X,X,X,X,X,1175,42,90998
States,California,2010,43,X,1.91748,X,X,X,X,X,X,666,130,34733
States,District of Columbia,2010,43,X,3.11632,X,X,X,X,X,X,101,4,3241
States,Florida,2010,43,X,X,X,X,X,X,X,X,X,X,X
States,New York,2010,43,X,0.358981,X,X,X,X,X,X,53,98,14764
States,Texas,2010,43,X,2.20655,X,X,X,X,X,X,1117,96,50622
States,New York City,2010,43,X,1.30236,X,X,X,X,X,X,1207,41,92678
States,California,2010,44,X,2.52326,X,X,X,X,X,X,887,131,35153
States,District of Columbia,2010,44,X,2.99118,X,X,X,X,X,X,95,4,3176
States,Florida,2010,44,X,X,X,X,X,X,X,X,X,X,X
States,New York,2010,44,X,0.527357,X,X,X,X,X,X,80,104,15170
States,Texas,2010,44,X,2.36381,X,X,X,X,X,X,1218,99,51527
States,New York City,2010,44,X,1.51508,X,X,X,X,X,X,1325,42,87454
States,California,2010,45,X,2.74562,X,X,X,X,X,X,906,126,32998
States,District of Columbia,2010,45,X,2.32951,X,X,X,X,X,X,69,4,2962
States,Florida,2010,45,X,X,X,X,X,X,X,X,X,X,X
States,New York,2010,45,X,0.504756,X,X,X,X,X,X,78,105,15453
States,Texas,2010,45,X,2.51778,X,X,X,X,X,X,1310,97,52030
States,New York City,2010,45,X,1.73829,X,X,X,X,X,X,1557,42,89571
States,California,2010,46,X,2.81963,X,X,X,X,X,X,1020,131,36175
States,District of Columbia,2010,46,X,1.5844,X,X,X,X,X,X,52,4,3282
States,Florida,2010,46,X,X,X,X,X,X,X,X,X,X,X
States,New York,2010,46,X,0.503441,X,X,X,X,X,X,79,107,15692
States,Texas,2010,46,X,2.24622,X,X,X,X,X,X,1121,95,49906
States,New York City,2010,46,X,1.92684,X,X,X,X,X,X,1810,43,93936
States,California,2010,47,X,3.16132,X,X,X,X,X,X,729,134,23060
States,District of Columbia,2010,47,X,3.33519,X,X,X,X,X,X,60,4,1799
States,Florida,2010,47,X,X,X,X,X,X,X,X,X,X,X
States,New York,2010,47,X,0.54919,X,X,X,X,X,X,58,104,10561
States,Texas,2010,47,X,2.59866,X,X,X,X,X,X,964,90,37096
States,New York City,2010,47,X,2.33103,X,X,X,X,X,X,1971,43,84555
States,California,2010,48,X,2.60631,X,X,X,X,X,X,939,135,36028
States,District of Columbia,2010,48,X,4.15896,X,X,X,X,X,X,135,4,3246
States,Florida,2010,48,X,X,X,X,X,X,X,X,X,X,X
States,New York,2010,48,X,1.62591,X,X,X,X,X,X,244,105,15007
States,Texas,2010,48,X,2.56617,X,X,X,X,X,X,1273,93,49607
States,New York City,2010,48,X,2.54207,X,X,X,X,X,X,2411,41,94844
States,California,2010,49,X,3.05613,X,X,X,X,X,X,1072,135,35077
