REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE
California,2010,40,183,3.28
District of Columbia,2010,40,14,0
Florida,2010,40,X,X
New York,2010,40,300,1
Texas,2010,40,301,0.66
New York City,2010,40,X,X
California,2010,41,163,1.23
District of Columbia,2010,41,X,X
Florida,2010,41,X,X
New York,2010,41,262,0.76
Texas,2010,41,426,2.82
New York City,2010,41,X,X
California,2010,42,174,2.87
District of Columbia,2010,42,24,0
Florida,2010,42,X,X
New York,2010,42,327,0.61
Texas,2010,42,390,3.08
New York City,2010,42,X,X
California,2010,43,168,1.79
District of Columbia,2010,43,15,0
Florida,2010,43,X,X
New York,2010,43,294,1.36
Texas,2010,43,390,2.56
New York City,2010,43,X,X
California,2010,44,229,3.06
District of Columbia,2010,44,X,X
Florida,2010,44,X,X
New York,2010,44,360,2.5
Texas,2010,44,395,2.78
New York City,2010,44,X,X
California,2010,45,213,3.29
District of Columbia,2010,45,X,X
Florida,2010,45,X,X
New York,2010,45,407,3.44
Texas,2010,45,499,1.8
New York City,2010,45,X,X
California,2010,46,275,4.73
District of Columbia,2010,46,17,5.88
Florida,2010,46,X,X
New York,2010,46,421,6.18
Texas,2010,46,447,3.58
New York City,2010,46,X,X
California,2010,47,223,2.69
District of Columbia,2010,47,X,X
Florida,2010,47,X,X
New York,2010,47,534,5.24
Texas,2010,47,446,6.05
New York City,2010,47,X,X
California,2010,48,327,4.89
District of Columbia,2010,48,13,0
Florida,2010,48,X,X
New York,2010,48,654,5.5
Texas,2010,48,520,4.81
New York City,2010,48,X,X
California,2010,49,324,5.56
District of Columbia,2010,49,13,0
Florida,2010,49,X,X
New York,2010,49,538,11.9
Texas,2010,49,549,8.93
New York City,2010,49,X,X
California,2010,50,321,5.3
District of Columbia,2010,50,12,16.67
Florida,2010,50,X,X
New York,2010,50,697,10.62
Texas,2010,50,742,19.54
New York City,2010,50,X,X
California,2010,51,307,11.07
District of Columbia,2010,51,16,12.5
Florida,2010,51,X,X
New York,2010,51,776,17.78
Texas,2010,51,806,25.06
New York City,2010,51,X,X
California,2010,52,343,10.2
District of Columbia,2010,52,28,21.43
Florida,2010,52,X,X
New York,2010,52,883,24.46
Texas,2010,52,922,20.17
New York City,2010,52,X,X
California,2011,1,324,10.8
District of Columbia,2011,1,23,17.39
Florida,2011,1,X,X
New York,2011,1,1164,21.65
Texas,2011,1,1181,22.95
New York City,2011,1,X,X
California,2011,2,330,20.91
District of Columbia,2011,2,37,24.32
Florida,2011,2,X,X
New York,2011,2,989,23.36
Texas,2011,2,1049,27.26
New York City,2011,2,X,X
California,2011,3,309,15.53
District of Columbia,2011,3,32,37.5
Florida,2011,3,X,X
New York,2011,3,996,22.89
Texas,2011,3,1292,31.11
New York City,2011,3,X,X
California,2011,4,378,25.93
District of Columbia,2011,4,42,38.1
Florida,2011,4,X,X
New York,2011,4,1040,25.58
Texas,2011,4,1497,30.06
New York City,2011,4,X,X
California,2011,5,403,27.05
District of Columbia,2011,5,32,46.88
Florida,2011,5,X,X
New York,2011,5,996,26
Texas,2011,5,1590,35.66
New York City,2011,5,X,X
California,2011,6,441,23.58
